radiant_team,dire_team,radiant_win
"34,30,55,32,119","81,91,21,23,27",true
"67,76,86,40,15","137,8,64,70,13",true
"20,15,59,41,121","39,95,71,36,14",true
"14,69,86,8,91","5,2,1,105,21",true
"76,9,42,67,97","102,12,7,36,137",false
"22,63,56,36,71","100,65,14,12,101",false
"22,88,42,94,36","45,30,35,2,105",false
"36,51,48,21,71","67,28,121,75,72",false
"67,28,62,14,20","53,82,16,114,71",true
"54,35,96,38,30","14,5,110,70,2",true
"26,77,71,128,14","84,5,19,74,48",true
"76,62,93,37,10","9,39,1,42,14",true
"36,10,22,21,20","84,76,7,100,1",false
"104,35,119,123,95","84,53,60,67,22",false
"41,30,60,50,59","67,53,79,104,14",false
"47,99,72,123,44","35,80,97,90,62",true
"42,62,113,34,26","89,94,14,88,2",false
"25,2,121,67,7","11,107,14,46,71",true
"89,13,83,20,96","93,126,26,14,50",false
"35,68,86,14,1","18,26,137,9,11",true
"53,14,67,46,23","91,88,129,107,48",true
"26,16,53,36,41","88,35,99,97,121",true
"128,137,17,67,23","46,2,56,101,71",true
"25,83,135,12,64","68,67,21,28,11",false
"40,32,2,53,36","81,30,8,100,22",true
"91,104,64,47,75","23,28,5,67,71",true
"7,63,31,121,136","45,35,42,61,84",false
"57,22,93,72,53","100,67,50,64,60",false
"63,30,126,100,56","13,136,45,25,23",true
"119,8,62,39,42","14,50,97,28,37",false
"7,2,53,64,10","1,83,98,88,22",false
"74,4,26,104,75","6,37,42,89,64",false
"74,81,83,16,20","14,45,62,67,25",false
"26,67,14,75,53","77,128,59,57,135",true
"44,76,53,85,28","26,48,108,79,60",true
"138,62,22,2,136","30,11,121,42,72",true
"74,107,67,41,27","47,51,6,113,22",false
"107,19,28,1,110","59,44,31,63,84",false
"86,67,42,104,84","93,123,16,101,138",true
"42,62,30,85,63","121,25,64,96,12",false
"46,44,56,7,103","83,121,71,59,67",false
"88,44,82,22,121","23,67,49,85,27",false
"75,4,39,64,60","63,22,14,104,53",false
"28,101,7,27,12","41,57,2,30,5",true
"28,93,74,87,138","14,63,6,84,23",true
"83,120,99,35,6","44,71,76,66,32",false
"11,6,102,87,96","123,75,35,44,28",true
"107,11,28,9,46","75,99,30,59,8",false
"30,96,22,72,12","69,75,50,10,120",true
"54,26,29,87,59","18,77,86,75,84",true
"14,48,35,28,52","88,81,121,109,31",true
"21,32,8,27,137","123,104,62,2,75",true
"137,7,14,26,48","30,35,93,75,88",false
"100,15,66,75,47","19,48,36,72,2",true
"16,21,40,71,93","137,86,85,44,46",false
"7,45,11,44,16","68,17,2,71,21",true
"35,6,5,99,74","41,129,37,10,53",true
"138,70,73,5,97","9,16,14,54,35",false
"135,10,36,53,74","26,78,27,80,111",false
"67,25,28,3,123","14,76,50,6,119",true
"28,138,20,42,27","23,44,62,29,101",true
"48,36,30,29,31","96,14,50,93,110",true
"69,111,18,25,53","44,105,84,33,31",false
"107,89,83,114,26","84,67,72,27,12",false
"57,19,1,75,28","22,41,21,39,26",false
"71,30,62,54,1","42,56,79,20,114",true
"119,28,12,27,81","26,29,10,106,121",false
"67,25,41,77,7","16,35,40,30,44",false
"56,70,123,114,11","10,16,94,86,105",true
"7,138,9,40,35","28,39,18,27,30",false
"104,72,25,121,63","12,96,14,3,17",true
"75,50,20,81,62","95,84,28,87,7",false
"97,56,63,14,42","30,53,54,45,5",true
"1,45,15,110,40","81,36,135,25,64",false
"76,30,2,1,27","48,84,71,28,91",true
"35,114,84,29,71","137,119,7,44,23",false
"86,72,73,1,104","93,20,113,11,25",true
"86,14,137,45,4","75,71,104,97,44",true
"88,56,45,10,97","80,68,74,12,53",false
"109,7,11,57,85","8,31,135,89,76",false
"36,43,101,67,30","54,14,96,25,39",true
"40,75,77,97,12","72,64,59,48,28",false
"54,35,47,14,53","21,75,28,91,8",false
"68,136,121,53,41","42,28,2,88,79",false
"75,53,27,99,81","4,112,84,89,25",true
"110,64,74,1,42","128,8,36,69,53",false
"74,69,22,50,12","2,88,11,26,67",false
"7,138,48,98,72","27,104,67,35,106",false
"14,6,52,29,13","76,60,84,64,42",false
"93,126,128,76,2","40,108,35,114,26",false
"114,26,28,13,10","42,83,6,72,123",false
"11,87,8,71,2","96,70,119,21,36",false
"11,59,62,64,104","46,114,83,128,6",true
"30,76,19,87,18","90,8,26,15,89",true
"21,23,41,64,76","42,30,7,44,53",false
"113,30,67,135,75","32,76,119,42,88",true
"8,36,14,42,88","47,54,71,119,123",false
"76,96,74,44,8","23,27,36,32,85",true
"14,56,45,37,7","17,138,79,80,101",true
"126,25,56,72,67","60,39,86,94,19",false
