match_id,radiant_team,dire_team,radiant_win
7479556605,"87,137,76,63,31","138,14,126,86,27",false
7479556603,"15,112,14,28,19","45,76,23,8,40",true
7479556602,"66,49,9,22,114","14,53,40,26,48",true
7479556601,"119,49,54,27,104","96,8,42,75,46",true
7479556507,"53,101,138,71,22","135,36,75,70,87",true
7479556505,"102,30,31,25,80","10,22,105,96,87",true
7479556411,"97,81,14,41,104","101,26,28,36,67",false
7479556410,"26,11,41,50,14","84,15,6,30,100",true
7479556318,"20,110,54,86,97","68,44,81,129,17",false
7479556317,"35,119,108,121,13","85,10,62,39,19",false
7479556315,"119,63,67,26,14","114,68,81,8,84",true
7479556313,"7,57,11,44,26","63,18,84,41,58",false
7479556311,"54,71,30,6,36","35,119,90,44,28",true
7479556309,"10,71,39,27,86","76,50,60,79,105",true
7479556303,"76,8,45,9,28","74,67,93,32,26",true
7479556301,"50,104,105,137,11","106,94,33,71,4",true
7479556300,"104,27,44,40,71","119,137,53,36,67",false
7479556211,"74,68,43,111,1","12,23,71,36,64",true
7479556206,"18,14,42,39,30","41,84,25,75,37",false
7479556204,"104,13,22,1,75","28,42,68,86,21",true
7479556116,"8,99,20,59,84","47,18,50,96,75",true
7479556111,"99,101,6,69,17","10,64,36,85,104",false
7479556108,"72,83,95,71,30","26,41,28,27,35",true
7479556105,"97,36,100,27,42","57,44,74,37,20",true
7479556104,"67,75,76,96,31","63,17,100,104,136",true
7479556007,"45,44,99,35,71","28,138,121,96,21",true
7479556005,"42,48,75,84,97","50,30,8,58,135",true
7479556004,"35,30,93,22,71","62,36,29,95,68",true
7479556002,"31,33,36,1,9","76,26,86,67,42",false
7479556001,"74,32,104,105,19","64,126,37,35,96",false
7479555915,"64,46,68,77,35","19,47,6,27,85",false
7479555913,"6,40,14,71,76","138,37,104,34,53",true
7479555912,"25,126,65,136,7","22,16,44,67,101",true
7479555911,"40,35,21,73,97","68,47,12,33,14",true
7479555910,"71,72,68,23,39","7,11,28,26,31",false
7479555909,"21,31,81,86,102","64,28,53,100,67",false
7479555907,"18,39,25,108,121","86,2,35,75,41",true
7479555906,"16,35,104,36,99","7,85,56,3,14",true
7479555800,"42,44,62,119,104","83,74,99,67,112",false
7479555715,"25,51,6,91,20","46,72,54,104,121",false
7479555714,"40,15,135,14,41","59,87,2,79,67",true
